title,description,url,publishedAt,prediction,sentiment_score
Kerala govt's plea against airport's lease to Adani junked,"The Kerala high court on Monday dismissed all petitions, including by the state government, challenging central government's decision to leave out operations of Trivandrum International Airport (TRV) to Adani Enterprises Ltd.",https://timesofindia.indiatimes.com/city/kochi/hc-dismisses-kerala-govts-petition-against-trivandrum-airports-lease-to-adani-group/articleshow/78743366.cms,2020-10-19T05:55:11Z,negative,-0.6814344
India Approves 2.1 Gigawatt Renewable Energy Deal Between Adani Green & Total,A transaction between one of India’s largest renewable energy companies and French energy major Total has received regulatory go-ahead from the Indian government.,https://cleantechnica.com/?p=222446,2020-10-19T23:15:58Z,positive,0.88294214
"Adani to complete 1,000 MW transmission line to Mumbai by December 2022","In a review meeting taken following last Monday#39;#39;s power outage, Maharashtra Chief Minister Uddhav Thackeray had asked all stakeholders to expedite the project by adhering to the timelines.",https://www.moneycontrol.com/news/business/adani-to-complete-1000-mw-transmission-line-to-mumbai-by-december-2022-5980241.html,2020-10-19T03:47:39Z,positive,0.49559402
"Oaktree Capital offers Rs 28,000 crore for entire DHFL portfolio: Report","Oaktree Capital is said to have offered the highest recovery for lenders by far and maybe a natural choice. However, banks are planning to negotiate the offer higher and would hold discussions with the bidders over this week",https://www.moneycontrol.com/news/business/oaktree-capital-offers-rs-28000-crore-for-entire-dhfl-portfolio-report-5982511.html,2020-10-19T10:21:10Z,positive,0.7625519
Gainers Losers: 10 stocks that moved the most on October 19,"Among sectors, except pharma, IT and auto, other indices ended in the green. BSE Midcap and Smallcap indices gained 0.5 percent each.",https://www.moneycontrol.com/news/photos/business/stocks/gainers-losers-10-stocks-that-moved-the-most-on-october-19-5982891.html,2020-10-19T11:07:30Z,positive,0.44384885
Data Delivers Much-Needed Stability To The U.S. Power Grid,The data is there; we just need to take the roof off the house to truly understand what’s going on inside.,https://www.forbes.com/sites/forbestechcouncil/2020/10/19/data-delivers-much-needed-stability-to-the-us-power-grid/,2020-10-19T12:20:00Z,neutral,0.26656777
High Court junks Kerala govt’s plea against airport lease to Adani,"The state government had filed an application in the court against the Central government's decision to lease out the operation, management, and development of Thiruvantjapuram airport to Adani Enterprises for a period of 50 years.",https://indianexpress.com/article/india/hc-dismisses-kerala-govts-plea-against-thiruvananthapuram-airport-lease-to-adani-6788554/,2020-10-19T07:12:23Z,neutral,0.0005979836
Kerala High Court Dismisses State's Petition Against Adani Group Managing Thiruvananthapuram Airport,The Kerala High Court has dismissed the state government's petition against the Adani group managing Thiruvananthapuram airport.,https://www.ndtv.com/india-news/kerala-high-court-dismisses-state-governments-petition-against-adani-group-managing-thiruvananthapuram-airport-2312249,2020-10-19T05:44:40Z,negative,-0.80831045
ATIAL gears up to take over capital airport,Seeks security clearance from Home Ministry and BCAS,https://www.thehindu.com/news/national/kerala/atial-gears-up-to-take-over-capital-airport/article32893191.ece,2020-10-19T13:00:40Z,neutral,0.10321157
Kapil Wadhwan offers to settle all claims of DHFL,"Says outside forces trying to suppress DHFL value; pegs profit from 10 projects at ₹44,000 crore",https://www.thehindubusinessline.com/money-and-banking/kapil-wadhwan-offers-to-settle-all-claims-of-dhfl/article32892371.ece,2020-10-19T11:08:12Z,negative,-0.2521832
"Adani Group to execute 1,000 MW transmission line to Mumbai by 2022-end","In a review meeting taken following last Monday's power outage, Maharashtra Chief Minister Uddhav Thackeray had asked all stakeholders to expedite the project by adhering to the timelines",https://www.businesstoday.in/current/corporate/adani-group-to-execute-1000-mw-transmission-line-to-mumbai-by-2022-end/story/419313.html,2020-10-19T02:41:30Z,neutral,0.36715358
"IOC to offer differentiated fuels, hydrogen-spiked CNG",The company has already set up EV-charging points at 76 petrol pumps and battery-swapping facilities at 11 outlets.,https://www.thehindu.com/business/Industry/ioc-to-offer-differentiated-fuels-hydrogen-spiked-cng/article32892088.ece,2020-10-19T10:25:46Z,neutral,0.22110277
"DHFL hits 10% upper circuit on report of Adani, Piramal submitting bids",The Administrator of the Company has received four resolution plans with respect to the options given to the Prospective Resolution Applicants,https://www.business-standard.com/article/markets/dhfl-up-10-upper-circuit-on-report-of-adani-piramal-submit-bids-for-stake-120101900218_1.html,2020-10-19T04:52:39Z,neutral,0.16940579
"Market Movers: Banks rally, Amber Enterprises at new high; 19 stocks turn overbought","Amber Enterprises logged a new all-time high of Rs 2,544.94 earlier in the day, and has advanced 24.25 per cent over the last three sessions.",https://economictimes.indiatimes.com/markets/stocks/news/market-movers-banks-rally-amber-enterprises-at-new-high-19-stocks-turn-overbought/articleshow/78748555.cms,2020-10-19T12:18:36Z,positive,0.8805123
Kerala High Court dismisses state govt's plea against lease of Thiruvananthapuram airport,"The Kerala government, on August 21, had moved the high court seeking a stay on further proceedings in leasing Thiruvananthapuram international airport to Adani Enterprises.",https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/kerala-high-court-dismisses-state-govts-plea-against-lease-of-thiruvananthapuram-airport/articleshow/78745449.cms,2020-10-19T08:15:17Z,neutral,-0.22557773
"Kapil Wadhawan offers Rs 43,000 crore family assets to repay DHFL lenders",Wadhawan wrote to RBI-appointed administrator R Subramaniakumar on October 17 saying his offer would ensure maximum value for the assets that have been put on the block to repay loans.,https://indianexpress.com/article/india/kapil-wadhawan-offers-rs-43000-crore-family-assets-to-repay-dhfl-lenders-6789348/,2020-10-19T12:15:01Z,positive,0.5685236
What changed for the market while you were sleeping? Top 10 things to know,Trends on SGX Nifty indicate a positive opening for the index in India with a 72 points gain.,https://www.moneycontrol.com/news/business/markets/what-changed-for-the-market-while-you-were-sleeping-top-10-things-to-know-309-5979351.html,2020-10-19T02:14:09Z,positive,0.889755
"DHFL hits upper circuit as Adani Group, Piramal, Oaktree bid for firm","In November, the RBI referred DHFL, the third-largest pure-play mortgage lender, to the National Company Law Tribunal (NCLT) for insolvency proceedings.",https://economictimes.indiatimes.com/markets/stocks/news/dhfl-hits-upper-circuit-as-adani-group-piramal-oaktree-bid-for-firm/articleshow/78744442.cms,2020-10-19T07:05:38Z,neutral,0.18342331
Kerala HC dismisses govt's plea against Trivandrum airport lease to Adani,The Kerala government suffered a big setback on Monday after the High Court dismissed their plea against Centre's move to lease out the Thiruvananthapuram international airport to Adani Enterprises.,https://www.business-standard.com/article/current-affairs/kerala-hc-dismisses-govt-s-plea-against-trivandrum-airport-lease-to-adani-120101900472_1.html,2020-10-19T08:55:00Z,negative,-0.92965585
"Dynamo Kiev-Juventus, ""designati"" telecronista e commentatore Sky. In studio anche gli ex Capello e... - Tutto Juve","<ol><li>Dynamo Kiev-Juventus, ""designati"" telecronista e commentatore Sky. In studio anche gli ex Capello e...  Tutto Juve
</li><li>Champions League, Pirlo: ""Dybala arrabbiato, ora è a disposizione"" - Sportmediaset  Sport Mediaset
</li><li>La Juve pronta pe…",https://www.tuttojuve.com/altre-notizie/dynamo-kiev-juventus-designati-telecronista-e-commentatore-sky-in-studio-anche-gli-ex-capello-e-del-piero-532892,2020-10-19T21:00:35Z,neutral,-0.025078803
Top headlines: Farmer survey on agri laws; CPSEs told to spend 75% of capex,Business Standard brings you the top headlines of the day,https://www.business-standard.com/article/current-affairs/top-headlines-farmer-survey-on-agri-laws-cpses-told-to-spend-75-of-capex-120101900842_1.html,2020-10-19T11:18:00Z,neutral,-0.15589726
