Date,Score,positive,neutral,negative
2020-10-14,0.012687,25,50,25
2020-10-15,0.016241,23.076923,38.461538,38.461538
2020-10-16,0.120474,26.666667,53.333333,20
2020-10-17,0.191993,0,100,0
2020-10-18,0.057899,7.142857,85.714286,7.142857
2020-10-19,0.135005,31.034483,48.275862,20.689655
2020-10-20,0.062522,30,50,20
2020-10-21,0.054106,33.333333,40,26.666667
2020-10-22,-0.083621,22.727273,50,27.272727
2020-10-23,0.158151,43.333333,33.333333,23.333333
2020-10-24,0.645317,100,0,0
2020-10-25,0.052488,0,100,0
2020-10-26,0.145418,26.923077,57.692308,15.384615
2020-10-27,0.06773,42.857143,28.571429,28.571429
2020-10-28,-0.272027,19.230769,30.769231,50
2020-10-29,-0.473356,12,28,60
