title,description,url,publishedAt,prediction,sentiment_score
"Murthy se reúne con los capitanes, entre ellos Kondogbia","El presidente ha pedido unión y responsabilidad a los cinco representantes del vestuario: Gayà, Jaume, Kondogbia, Soler y Gabriel",https://as.com/futbol/2020/10/29/primera/1603975696_151922.html,2020-10-29T12:57:28Z,neutral,0.0071255043
"With pending Livongo deal, Teladoc's virtual care business is booming - FierceHealthcare",Teladoc continues to see surging demand for its virtual care services even as the use of telehealth across the country has slowly declined from hitting peaks in April. Find out how much the company's virtual care visits and revenue grew in the third quarter.,https://www.fiercehealthcare.com/tech/teladoc-q3-earnings,2020-10-29T11:35:00Z,positive,0.2910599
All pushkar ghats to be built before Nov. 13,"Arrangements for the event, including COVID-19 steps, discussed",https://www.thehindu.com/news/national/andhra-pradesh/all-pushkar-ghats-to-be-built-before-nov-13/article32976918.ece,2020-10-29T19:48:49Z,neutral,0.034983784
Infosys earns carbon neutral tag; announces ESG vision for 2030,"Over the past years, Infosys has reduced its per capita electricity consumption by over 55 percent with the ambition to transition to renewable energy",https://www.businesstoday.in/current/corporate/infosys-earns-carbon-neutral-tag-announces-esg-vision-for-2030/story/420266.html,2020-10-29T07:27:57Z,negative,-0.9577465
Teladoc Health (TDOC) Q3 2020 Earnings Call Transcript,"TDOC earnings call for the period ending September 30, 2020.",https://www.fool.com/earnings/call-transcripts/2020/10/29/teladoc-health-tdoc-q3-2020-earnings-call-transcri/,2020-10-29T08:03:12Z,neutral,-0.0033524334
Act against all land grabbers: CPI,Party supports action in recovering lands in ‘illegal possession of GITAM’,https://www.thehindu.com/news/cities/Visakhapatnam/act-against-all-land-grabbers-cpi/article32976779.ece,2020-10-29T19:31:04Z,positive,0.6022178
Al Atlético se le agota el tiempo para poder reforzarse,"El club recibió un mes extra para poder suplir a Thomas por su pérdida sobre la bocina, pero ya han pasado tres semanas y las negociaciones por Kondogbia no avanzan.",https://as.com/futbol/2020/10/29/primera/1603989488_984626.html,2020-10-29T22:12:58Z,neutral,-0.13149193
"Teladoc Health, Inc. (TDOC) CEO Jason Gorevic on Q3 2020 Results - Earnings Call Transcript","Teladoc Health, Inc. (NYSE:TDOC) Q3 2020 Earnings Conference Call October 28, 2020, 16:30 ET Company Participants Patrick Feeley - VP, IR Jason Gorevic - CEO & Director Mala Murthy - CFO Conference Call Participants Lisa Gill - JPMorgan Chase & Co.",https://seekingalpha.com/article/4382366-teladoc-health-inc-tdoc-ceo-jason-gorevic-on-q3-2020-results-earnings-call-transcript,2020-10-29T03:02:07Z,neutral,-0.043997522
Kondogbia se encuentra con Murthy por primera vez tras llamarle mentiroso,Goeoffrey Kondogbia y Anil Murthy se han encontrado frente a frente por primera vez desde que el jugador acusara públicamente al presidente de...,https://www.marca.com/futbol/valencia/2020/10/29/5f9aeaa2268e3e43468b4611.html,2020-10-29T16:15:43Z,neutral,-0.04576149
The Latest: Winfrey boosts Biden at get-out-the-vote event,WASHINGTON (AP) — The Latest on the presidential campaign (all times local):,https://lancasteronline.com/news/politics/the-latest-winfrey-boosts-biden-at-get-out-the-vote-event/article_d0c1d119-5f30-5703-b448-6814d4e99075.html,2020-10-29T00:37:44Z,neutral,0.007627383
