title,description,url,publishedAt,prediction,sentiment_score
Wall Street banks see rare payday bonanza in India despite pandemic - Reuters,"Major Wall Street banks in India raked in their second-highest fee income since the global financial crisis in the first nine months of this year, benefitting from a flurry of private-sector deals despite the coronavirus pandemic.",https://www.reuters.com/article/india-investment-banking-idUSL4N2H40IY,2020-10-22T01:37:00Z,positive,0.83311844
Wall Street banks see rare payday bonanza in India despite pandemic - Reuters,"Major Wall Street banks in India raked in their second-highest fee income since the global financial crisis in the first nine months of this year, benefitting from a flurry of private-sector deals despite the coronavirus pandemic.",https://www.reuters.com/article/us-india-investment-banking-idUSKBN27703V,2020-10-22T01:44:00Z,positive,0.83311844
Why Mukesh Ambani’s JioPages is perfectly timed,"""There couldn't have been a more opportune time to launch a made-in-India browser.""",https://qz.com/india/1921186/why-mukesh-ambanis-jiopages-is-perfectly-timed/,2020-10-22T05:16:00Z,neutral,0.06039407
"Less short-time work at Thyssenkrupp steel, but crisis not over - Reuters","Thyssenkrupp's steel unit, which Britain's Liberty Steel wants to buy, has cut reliance on shortened working hours, a spokesman said on Thursday, adding that alone was not yet a sign of a sustainable demand recovery.",https://www.reuters.com/article/thyssenkrupp-steel-workers-idUSKBN2771VO,2020-10-22T13:00:00Z,negative,-0.26991284
FIIs hike stake in Reliance Industries to 25.2 per cent,"In the previous quarter ended June 30, foreign investors held 163.07 crore shares of 24.72 per cent.",https://indianexpress.com/article/business/companies/fiis-hike-stake-in-reliance-industries-to-25-2-per-cent-6836814/,2020-10-22T11:05:24Z,positive,0.7490637
"FPIs, promoters hiked stake in Reliance Industries in Q2",Latest shareholding data showed that FPIs held 25.20 per cent stake in the company as of September 30 against 24.72 per cent in the preceding quarter ended June 30.,https://economictimes.indiatimes.com/markets/stocks/news/fpis-promoters-hiked-stake-in-reliance-industries-in-q2/articleshow/78804353.cms,2020-10-22T07:10:23Z,negative,-0.41115826
FIIs hike stake in Reliance Industries to 25.2%,"In the previous quarter ended June 30, foreign investors held 163.07 crore shares of 24.72%.",https://www.thehindu.com/business/Industry/fiis-hike-stake-in-reliance-industries-to-252/article32917221.ece,2020-10-22T09:51:28Z,positive,0.7744594
"IPL 2020 RR vs SRH Live Streaming Online: How to watch RR vs SRH match on Hotstar, Jio TV?","IPL 2020 RR vs SRH Live Cricket Match Score Streaming Online on Hotstar: Here's how you can watch RR vs SRH match live today on Disney+ Hotstar, JioTV",https://indianexpress.com/article/technology/techook/ipl-2020-rr-vs-srh-live-streaming-online-6838255/,2020-10-22T12:43:41Z,neutral,0.0010991022
Goldman Sachs U.S. settlement over Malaysia 1MDB scandal to lift dark cloud - Reuters,"Goldman Sachs Group Inc<GS.N> this week will agree to pay more than $2 billion to settle U.S. charges over its role in Malaysia's 1MDB corruption scandal, lifting a dark cloud that has hung over the bank for years.",https://www.reuters.com/article/us-goldmansachs-1mdb-settlement-idUSKBN2771BX,2020-10-22T10:06:00Z,positive,0.75937223
"Flush with cash, India’s sports fantasy startups are gaining ground","There are now more than 140 ports fantasy league platforms in India, in comparison to just 10 in 2016.",https://qz.com/india/1916738/dream-11-mpl-sports-fantasy-leagues-ride-indian-premier-league/,2020-10-22T02:31:44Z,negative,-0.96775323
"Sensex declines over 250 points in early trade; Nifty tests 11,850","The 30-share BSE index was trading 279.13 points or 0.69 per cent lower at 40,428.18, and the broader NSE Nifty fell 80.05 points or 0.67 per cent to 11,857.60.",https://indianexpress.com/article/business/market/markets-live-updates-nse-bse-nifty-sensex-stocks-shares-6832584/,2020-10-22T04:49:41Z,neutral,0.017518362
The persistence of COBOL: why a 60-year old language is still in demand,"It's not often in technology that something lasts more than a few years, let alone six decades as is the case with the COBOL programming language. We look at why the language is still so important and whether its going to fade away any time soon.",https://www.idgconnect.com/article/3578391/the-persistence-of-cobol-why-a-60-year-old-language-is-still-in-demand.html,2020-10-22T10:09:07Z,neutral,-0.011023525
Reliance Steel And Aluminum Co (RS) Q3 2020 Earnings Call Transcript,"RS earnings call for the period ending September 30, 2020.",https://www.fool.com/earnings/call-transcripts/2020/10/22/reliance-steel-and-aluminum-co-rs-q3-2020-earnings/,2020-10-22T22:01:24Z,negative,-0.9177964
Analysis: Sub-zero rates' squeeze on UK bank profits may scupper lending boom - Reuters,"Negative interest rates would punch a big hole in UK banks' profits without necessarily delivering the intended lifeline to Britain's frail economy, senior bankers have warned.",https://www.reuters.com/article/us-britain-banks-negative-rates-analysis-idUSKBN27727N,2020-10-22T15:00:00Z,negative,-0.9165695
Sub-zero rates' squeeze on UK bank profits may scupper lending boom - Reuters India,"Negative interest rates would punch a big hole in UK banks' profits without necessarily delivering the intended lifeline to Britain's frail economy, senior bankers have warned.",https://www.reuters.com/article/britain-banks-negative-rates-idUSKBN2772MP,2020-10-22T17:15:00Z,neutral,0.110001385
Analysis: China and U.S. economies diverge over coronavirus response - Reuters India,"The United States and China dealt with the spread of the devastating coronavirus pandemic in vastly different ways, and that split is reshaping the global battle between the world's two leading economies.",https://in.reuters.com/article/health-coronavirus-usa-china-analysis-idINKBN277066,2020-10-22T02:20:00Z,positive,0.23083551
China and U.S. economies diverge over coronavirus response - Reuters UK,"The United States and China dealt with the spread of the devastating coronavirus pandemic in vastly different ways, and that split is reshaping the global battle between the world's two leading economies.",https://uk.reuters.com/article/uk-health-coronavirus-usa-china-analysis-idUKKBN27701I,2020-10-22T00:38:00Z,negative,-0.90814793
Analysis: Sub-zero rates' squeeze on UK bank profits may scupper lending boom - Reuters India,"Negative interest rates would punch a big hole in UK banks' profits without necessarily delivering the intended lifeline to Britain's frail economy, senior bankers have warned.",https://www.reuters.com/article/us-britain-banks-negative-rates-analysis-idINKBN27727N,2020-10-22T14:57:00Z,positive,0.8314486
"Jio revamps JioPages, unveils Made-in-India mobile browser","Reliance Jio has launched new, revamped `JioPages’, its Made-in-India mobile browser that is available in eight Indian languages and promises enhanced browsing experience while focusing on data privac",https://www.thehindu.com/sci-tech/technology/jio-unveils-new-upgraded-jiopages-made-in-india-mobile-browser-supports-8-indian-languages/article32916641.ece,2020-10-22T08:56:50Z,neutral,0.07040365
Netflix 將在印度推週末免費看服務，吸引新用戶註冊,"串流服務公司 Netflix 為提升新興市場的用戶數量，將在印度市場推出週末免費看服務，吸引新用戶進入串流平台。這是 Netflix 首次推出免費服務，未來有可能推廣到其他新興市場。

近日 Netflix 公開截至 2020 年第三季的全球訂閱用戶數量為 1.95 億，第三季新增 220 萬訂...",https://technews.tw/2020/10/23/netflix-to-test-free-weekend-long-access-in-india/,2020-10-22T23:30:16Z,negative,-0.93310666
