Date,Score,positive,neutral,negative
2020-10-14,0.055203,37,34,29
2020-10-15,-0.00994,23,51,26
2020-10-16,0.000647,37,30,33
2020-10-17,0.046884,20.652174,60.869565,18.478261
2020-10-18,0.05208,30,46,24
2020-10-19,0.136971,30,53,17
2020-10-20,0.238847,40,44,16
2020-10-21,0.140424,33,45,22
2020-10-22,0.092361,39.393939,33.333333,27.272727
2020-10-23,0.065548,31,43,26
2020-10-24,0.009681,22.222222,53.535354,24.242424
2020-10-25,-0.063039,24.242424,42.424242,33.333333
2020-10-26,-0.208395,19,36,45
2020-10-27,0.116319,37,41,22
2020-10-28,0.051352,23,54,23
2020-10-29,-0.003354,20,52,28
