title,description,url,publishedAt,prediction,sentiment_score
Business Insight | Industry expertsÂ indicate a positive hiring outlook in the coming quarters; good news for job-seekers?Â,"The top four IT firms - Tata Consultancy Services, Infosys, Wipro and HCL Technologies - hired 17,000 in Q2 FY21 after a net decline of 9,000 in the first",https://www.moneycontrol.com/news/eye-on-india/videos/business-insight-industry-experts-indicate-a-positive-hiring-outlook-in-the-coming-quarters-good-news-for-job-seekers-5988901.html,2020-10-20T12:57:40Z,negative,-0.33086082
Here’s the Quote That Will Shake the Multi-Billion Dollar Corp Travel Market Out of Its Stupor,"Hidden in a characteristically nondescript story in The New York Times this past weekend — I mean, can a headline be more anodyne 10 months into the",https://skift.com/2020/10/20/this-one-quote-just-took-billions-out-of-business-travel-market/,2020-10-20T15:00:11Z,neutral,-0.0022155643
"Handshake Announces $80M in Series D Financing: Now Connects Community College Students to In-Demand ""New Collar"" Jobs","Handshake, the number one site for early talent to find a job and get hired, today announced an $80 million financing round led by GGV Capital with participation from EQT Ventures, Kleiner Perkins, Lightspeed Venture Partners, Spark Capital and True Ventures,…",https://news.yahoo.com/handshake-announces-80m-series-d-113000661.html,2020-10-20T11:30:00Z,positive,0.7821714
"Indian Bank, IIT-M in pact for start-up funding","Public sector lender Indian Bank, in collaboration with IIT Madras Incubation Cell (IITMIC), has unveiled ‘Ind Spring Board,’ an initiative for funding start-ups.The occasion was marked by the distrib",https://www.thehindu.com/business/indian-bank-iit-m-in-pact-for-start-up-funding/article32903587.ece,2020-10-20T17:14:43Z,neutral,0.27928054
"Market Movers: IT leads, ACC jumps, Britannia tanks; 127 stocks flash buy","Top biscuit maker Britannia Industries tanked 5.89 per cent to Rs 3,551.50 after analysts cut the FY21 earnings estimates for the company by 4-6 per cent following its second quarter results.",https://economictimes.indiatimes.com/markets/stocks/news/market-movers-it-leads-acc-jumps-britannia-tanks-127-stocks-flash-buy/articleshow/78768674.cms,2020-10-20T11:50:57Z,negative,-0.95628774
Indian Bank launches credit scheme for start-ups in pact with IITMIC,"Our BureauPublic sector lender Indian Bank has introduced an initiative for funding start-ups, ‘IND Spring Board’, in collaboration with the IIT-Madras Incubation Cell (IITMIC). The Chennai-headquarte",https://www.thehindubusinessline.com/money-and-banking/indian-bank-launches-credit-scheme-for-start-ups-in-pact-with-iitmic/article32902170.ece,2020-10-20T14:21:52Z,positive,0.77402705
"Global Internet of Things (IoT) Managed Services Market 2020: Leading Players, Marketed and Phase III Drugs Landscape, Forthcoming Developments and Future Investments by Forecast to 2028 - PRnews Leader","Global Internet of Things (IoT) Managed Services Market 2020: Leading Players, Marketed and Phase III Drugs Landscape, Forthcoming Developments and Future Investments by Forecast to 2028  PRnews Leader",https://prnewsleader.com/uncategorized/691275/global-internet-of-things-iot-managed-services-market-2020-leading-players-marketed-and-phase-iii-drugs-landscape-forthcoming-developments-and-future-investments-by-forecast-to-2028/,2020-10-20T06:52:41Z,neutral,0.09377692
"Sensex, Nifty Rise On Slowing Coronavirus Cases, HDFC Bank Boost","COVID-19 cases in India are decreasing after a peak in mid-September, with the world's second-worst affected country reporting a near three-month low of 46,790 new infections in the last 24 hours.",https://www.ndtv.com/business/share-market-updates-nifty-sensex-rise-on-slowing-coronavirus-cases-hdfc-bank-boost-2312970,2020-10-20T10:01:34Z,negative,-0.95695573
TCS Co-Innovation is a key example of how a firm can leverage its global footprint: K Ananth Krishnan,"Under the MoU, IIT Madras Incubation Cell will refer startups with proven technology and established cash flows to Indian Bank and also extend advisory to the bank on the business model.",https://economictimes.indiatimes.com/tech/information-tech/tcs-co-innovation-is-a-key-example-of-how-a-firm-can-leverage-its-global-footprint-k-ananth-krishnan/articleshow/78771775.cms,2020-10-20T14:20:17Z,neutral,0.46185693
Stock market update: Nifty IT index up 2%; HCL Tech climbs 4%,The index was trading 1.75 per cent up at 21767.25.,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-update-nifty-it-index-up-2-hcl-tech-climbs-4nbsp/articleshow/78764318.cms,2020-10-20T07:11:38Z,positive,0.8309652
"Handshake Announces $80M in Series D Financing: Now Connects Community College Students to In-Demand ""New Collar"" Jobs","SAN FRANCISCO, Oct. 20, 2020 /PRNewswire/ -- Handshake, the number one site for early talent to find a job and get hired, today announced an $80 million financing round led by GGV Capital with participation from EQT Ventures, Kleiner Perkins, Lightspeed Ventu…",https://www.prnewswire.com/news-releases/handshake-announces-80m-in-series-d-financing-now-connects-community-college-students-to-in-demand-new-collar-jobs-301155298.html,2020-10-20T11:30:00Z,positive,0.774268
Appian kondigt boekpublicatie HYPERAUTOMATION aan,"Amsterdam, 20 oktober 2020 – Appian kondigt vandaag de publicatie van het boek HYPERAUTOMATION aan. Het boek is een verzameling van originele essays van toonaangevende technologie- en bedrijfsexperts die verschillende aspecten in de ontwikkeling van low-code …",https://www.emerce.nl/wire/appian-kondigt-boekpublicatie-hyperautomation,2020-10-20T08:32:13Z,neutral,-0.0113861
"Watch live: Big data solutions, machine learning featured at Io-Tahoe SmartData Marketplaces event","Automated data management tools are in high demand as data volumes continue to rise across the enterprise. Io-Tahoe LLC, founded in 2014, leverages machine-learning algorithms — and other tech — to helps organizations manage and gain insights from the ever-ex…",https://siliconangle.com/2020/10/20/watch-live-big-data-solutions-machine-learning-featured-io-tahoe-smartdata-marketplaces-event-dataautomated/,2020-10-20T22:00:14Z,positive,0.5504076
