Date,Score,positive,neutral,negative
2020-10-14,0.322957,53.488372,30.232558,16.27907
2020-10-15,0.00133,29.411765,41.176471,29.411765
2020-10-16,0.070012,60,10,30
2020-10-17,0.298288,33.333333,66.666667,0
2020-10-18,-0.045518,20,40,40
2020-10-19,0.497131,70,30,0
2020-10-20,0.176081,38.461538,38.461538,23.076923
2020-10-21,0.222577,38.461538,53.846154,7.692308
2020-10-22,0.154678,30.434783,60.869565,8.695652
2020-10-23,0.33124,47.058824,47.058824,5.882353
2020-10-24,-0.356342,0,50,50
2020-10-25,0.304608,36.363636,54.545455,9.090909
2020-10-26,0.179501,7.142857,92.857143,0
2020-10-27,0.092184,18.181818,72.727273,9.090909
2020-10-28,0.257099,31.25,62.5,6.25
2020-10-29,0.061593,13.043478,78.26087,8.695652
