Symbol,Company Name,Industry,Series,ISIN Code
3MINDIA,3M India Ltd.,SERVICES,EQ,INE470A01017
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE117A01022
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE012A01025
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE212H01026
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,EQ,INE702C01019
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,EQ,INE949L01017
AARTIIND,Aarti Industries Ltd.,CHEMICALS,EQ,INE769A01020
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES,EQ,INE216P01012
ABBOTINDIA,Abbott India Ltd.,PHARMA,EQ,INE358A01014
ADANIGAS,Adani Gas Ltd.,OIL & GAS,EQ,INE399L01023
ADANIGREEN,Adani Green Energy Ltd.,POWER,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,POWER,EQ,INE814H01011
ADANITRANS,Adani Transmission Ltd.,POWER,EQ,INE931S01010
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,EQ,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,EQ,INE647O01011
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,EQ,INE837H01020
AEGISCHEM,Aegis Logistics Ltd.,OIL & GAS,EQ,INE208C01025
AFFLE,Affle (India) Ltd.,IT,EQ,INE00WC01019
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,EQ,INE031B01049
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS,EQ,INE133A01011
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA,EQ,INE901L01018
ALKEM,Alkem Laboratories Ltd.,PHARMA,EQ,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,CHEMICALS,EQ,INE150B01021
ALLCARGO,Allcargo Logistics Ltd.,SERVICES,EQ,INE418H01029
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE,EQ,INE885A01032
AMBER,Amber Enterprises India Ltd.,CONSUMER GOODS,EQ,INE371P01015
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE079A01024
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,EQ,INE437A01024
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,EQ,INE438A01022
ARVINDFASN,Arvind Fashions Ltd.,CONSUMER GOODS,EQ,INE955V01021
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE,EQ,INE439A01020
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,EQ,INE208A01029
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION,EQ,INE442H01029
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,EQ,INE021A01026
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE914M01019
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMA,EQ,INE203A01020
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE006I01046
ATUL,Atul Ltd.,CHEMICALS,EQ,INE100A01010
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,EQ,INE406A01037
AVANTIFEED,Avanti Feeds Ltd.,CONSUMER GOODS,EQ,INE871C01038
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,EQ,INE192R01011
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,EQ,INE238A01034
BASF,BASF India Ltd.,CHEMICALS,EQ,INE373A01013
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE258A01016
BSE,BSE Ltd.,FINANCIAL SERVICES,EQ,INE118H01025
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,EQ,INE917I01010
BAJAJCON,Bajaj Consumer Care Ltd.,CONSUMER GOODS,EQ,INE933K01021
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER GOODS,EQ,INE193E01025
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,EQ,INE296A01024
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,EQ,INE918I01018
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,EQ,INE118A01012
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,EQ,INE787D01026
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE164A01016
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS,EQ,INE119A01028
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES,EQ,INE545U01014
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,EQ,INE028A01039
BANKINDIA,Bank of India,FINANCIAL SERVICES,EQ,INE084A01016
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES,EQ,INE457A01014
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,EQ,INE176A01028
BAYERCROP,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,EQ,INE462A01022
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,EQ,INE463A01038
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE171Z01018
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE263A01024
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE465A01025
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE257A01026
BPCL,Bharat Petroleum Corporation Ltd.,OIL & GAS,EQ,INE029A01011
BHARATRAS,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,EQ,INE838B01013
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,EQ,INE397D01024
INFRATEL,Bharti Infratel Ltd.,TELECOM,EQ,INE121J01017
BIOCON,Biocon Ltd.,PHARMA,EQ,INE376G01013
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE340A01012
BSOFT,Birlasoft Ltd.,IT,EQ,INE836A01035
BLISSGVS,Bliss GVS Pharma Ltd.,PHARMA,EQ,INE416D01022
BLUEDART,Blue Dart Express Ltd.,SERVICES,EQ,INE233B01017
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS,EQ,INE472A01039
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,EQ,INE050A01025
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.,CONSTRUCTION,EQ,INE032A01023
BOSCHLTD,Bosch Ltd.,AUTOMOBILE,EQ,INE323A01026
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION,EQ,INE791I01019
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,EQ,INE216A01030
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES,EQ,INE752H01013
CCL,CCL Products (I) Ltd.,CONSUMER GOODS,EQ,INE421D01022
CESC,CESC Ltd.,POWER,EQ,INE486A01013
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,EQ,INE007A01025
CSBBANK,CSB Bank Ltd.,FINANCIAL SERVICES,EQ,INE679A01013
CADILAHC,Cadila Healthcare Ltd.,PHARMA,EQ,INE010B01027
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES,EQ,INE477A01020
CANBK,Canara Bank,FINANCIAL SERVICES,EQ,INE476A01014
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA,EQ,INE475E01026
CGCL,Capri Global Capital Ltd.,FINANCIAL SERVICES,EQ,INE180C01026
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE120A01034
CASTROLIND,Castrol India Ltd.,OIL & GAS,EQ,INE172A01027
CEATLTD,Ceat Ltd.,AUTOMOBILE,EQ,INE482A01020
CENTRALBK,Central Bank of India,FINANCIAL SERVICES,EQ,INE483A01010
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,EQ,INE736A01011
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS,EQ,INE348B01021
CENTURYTEX,Century Textile & Industries Ltd.,PAPER,EQ,INE055A01016
CERA,Cera Sanitaryware Ltd,CONSTRUCTION,EQ,INE739E01017
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,EQ,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation Ltd.,OIL & GAS,EQ,INE178A01016
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,EQ,INE149A01033
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,EQ,INE121A01024
CIPLA,Cipla Ltd.,PHARMA,EQ,INE059A01026
CUB,City Union Bank Ltd.,FINANCIAL SERVICES,EQ,INE491A01021
COALINDIA,Coal India Ltd.,METALS,EQ,INE522F01014
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE704P01017
COFORGE,Coforge Ltd.,IT,EQ,INE591G01017
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,EQ,INE259A01022
CONCOR,Container Corporation of India Ltd.,SERVICES,EQ,INE111A01025
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,EQ,INE169A01031
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,EQ,INE741K01010
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,EQ,INE299U01018
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE298A01020
CYIENT,Cyient Ltd.,IT,EQ,INE136B01020
DBCORP,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,EQ,INE950I01011
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES,EQ,INE503A01015
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS,EQ,INE499A01024
DLF,DLF Ltd.,CONSTRUCTION,EQ,INE271C01023
