Symbol,keywords
3MINDIA,3M India
ABB,ABB India
ACC,ACC
AIAENG,AIA Engineering
APLAPOLLO,APL Apollo Tubes
AUBANK,AU Small Finance Bank
AARTIIND,Aarti Industries
AAVAS,Aavas Financiers
ABBOTINDIA,Abbott India
ADANIGAS,Adani Gas
ADANIGREEN,Adani Green Energy
ADANIPORTS,Adani Ports and Special Economic Zone
ADANIPOWER,"Adani Power,Adani group,Gautam Adani"
ADANITRANS,Adani Transmission
ABCAPITAL,Aditya Birla Capital
ABFRL,Aditya Birla Fashion and Retail
ADVENZYMES,Advanced Enzyme Tech
AEGISCHEM,Aegis Logistics
AFFLE,Affle (India)
AJANTPHARM,Ajanta Pharmaceuticals
AKZOINDIA,Akzo Nobel India
APLLTD,Alembic Pharmaceuticals
ALKEM,Alkem Laboratories
ALKYLAMINE,Alkyl Amines Chemicals
ALLCARGO,Allcargo Logistics
AMARAJABAT,Amara Raja Batteries
AMBER,Amber Enterprises India
AMBUJACEM,Ambuja Cements
APOLLOHOSP,Apollo Hospitals Enterprise
APOLLOTYRE,Apollo Tyres
ARVINDFASN,Arvind Fashions
ASAHIINDIA,Asahi India Glass
ASHOKLEY,Ashok Leyland
ASHOKA,Ashoka Buildcon
ASIANPAINT,Asian Paints
ASTERDM,Aster DM Healthcare
ASTRAZEN,AstraZenca Pharma India
ASTRAL,Astral Poly Technik
ATUL,Atul
AUROPHARMA,Aurobindo Pharma
AVANTIFEED,Avanti Feeds
DMART,Avenue Supermarts
AXISBANK,Axis Bank
BASF,BASF India
BEML,BEML
BSE,BSE
BAJAJ-AUTO,Bajaj Auto
BAJAJCON,Bajaj Consumer Care
BAJAJELEC,Bajaj Electricals Ltd
BAJFINANCE,Bajaj Finance
BAJAJFINSV,Bajaj Finserv
BAJAJHLDNG,Bajaj Holdings & Investment
BALKRISIND,Balkrishna Industries
BALMLAWRIE,Balmer Lawrie & Co.
BALRAMCHIN,Balrampur Chini Mills
BANDHANBNK,Bandhan Bank
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra.
BATAINDIA,Bata India
BAYERCROP,Bayer Cropscience
BERGEPAINT,Berger Paints India
BDL,Bharat Dynamics
BEL,Bharat Electronics
BHARATFORG,Bharat Forge
BHEL,Bharat Heavy Electricals
BPCL,Bharat Petroleum Corporation
BHARATRAS,Bharat Rasayan
BHARTIARTL,Bharti Airtel
INFRATEL,Bharti Infratel
BIOCON,Biocon
BIRLACORPN,Birla Corporation
BSOFT,Birlasoft
BLISSGVS,Bliss GVS Pharma
BLUEDART,Blue Dart Express
BLUESTARCO,Blue Star
BBTC,Bombay Burmah Trading Corporation
BOMDYEING,Bombay Dyeing & Manufacturing Co.
BOSCHLTD,Bosch
BRIGADE,Brigade Enterprises
BRITANNIA,Britannia Industries
CARERATING,CARE Ratings
CCL,CCL Products (I)
CESC,CESC
CRISIL,CRISIL
CSBBANK,CSB Bank
CADILAHC,Cadila Healthcare
CANFINHOME,Can Fin Homes
CANBK,Canara Bank
CAPLIPOINT,Caplin Point Laboratories
CGCL,Capri Global Capital
CARBORUNIV,Carborundum Universal
CASTROLIND,Castrol India
CEATLTD,Ceat
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India)
CENTURYPLY,Century Plyboards (India)
CENTURYTEX,Century Textile & Industries
CERA,Cera Sanitaryware Ltd
CHAMBLFERT,Chambal Fertilizers & Chemicals
CHENNPETRO,Chennai Petroleum Corporation
CHOLAHLDNG,Cholamandalam Financial Holdings
CHOLAFIN,Cholamandalam Investment and Finance Company
CIPLA,Cipla
CUB,City Union Bank
COALINDIA,Coal India
COCHINSHIP,Cochin Shipyard
COFORGE,Coforge
COLPAL,Colgate Palmolive (India)
CONCOR,Container Corporation of India
COROMANDEL,Coromandel International
CREDITACC,CreditAccess Grameen
CROMPTON,Crompton Greaves Consumer Electricals
CUMMINSIND,Cummins India
CYIENT,Cyient
DBCORP,D.B.Corp
DCBBANK,DCB Bank
DCMSHRIRAM,DCM Shriram
DLF,DLF
DABUR,Dabur India
DALBHARAT,Dalmia Bharat
DEEPAKNTR,Deepak Nitrite
DELTACORP,Delta Corp
DHANUKA,Dhanuka Agritech
DBL,Dilip Buildcon
DISHTV,Dish TV India
DCAL,Dishman Carbogen Amcis
DIVISLAB,Divi's Laboratories
DIXON,Dixon Technologies (India)
LALPATHLAB,Dr. Lal Path Labs
DRREDDY,Dr. Reddy's Laboratories
EIDPARRY,E.I.D. Parry (India)
EIHOTEL,EIH
ESABINDIA,ESAB India
EDELWEISS,Edelweiss Financial Services
EICHERMOT,Eicher Motors
ELGIEQUIP,Elgi Equipments
EMAMILTD,Emami
ENDURANCE,Endurance Technologies
ENGINERSIN,Engineers India
EQUITAS,Equitas Holdings
ERIS,Eris Lifesciences
ESCORTS,Escorts
ESSELPACK,Essel Propack
EXIDEIND,Exide Industries
FDC,FDC
FEDERALBNK,Federal Bank
FINEORG,Fine Organic Industries
FINCABLES,Finolex Cables
FINPIPE,Finolex Industries
FSL,Firstsource Solutions
FORTIS,Fortis Healthcare
FCONSUMER,Future Consumer
FRETAIL,Future Retail
GAIL,GAIL (India)
GEPIL,GE Power India
GET&D,GE T&D India
GHCL,GHCL
GMMPFAUDLR,GMM Pfaudler
GMRINFRA,GMR Infrastructure
GALAXYSURF,Galaxy Surfactants
GRSE,Garden Reach Shipbuilders & Engineers
GARFIBRES,Garware Technical Fibres
GICRE,General Insurance Corporation of India
GILLETTE,Gillette India
GLAXO,Glaxosmithkline Pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals
GODFRYPHLP,Godfrey Phillips India
GODREJAGRO,Godrej Agrovet
GODREJCP,Godrej Consumer Products
GODREJIND,Godrej Industries
GODREJPROP,Godrej Properties
GRANULES,Granules India
GRAPHITE,Graphite India
GRASIM,Grasim Industries
GESHIP,Great Eastern Shipping Co.
GREAVESCOT,Greaves Cotton
GRINDWELL,Grindwell Norton
GUJALKALI,Gujarat Alkalies & Chemicals
FLUOROCHEM,Gujarat Fluorochemicals
GUJGASLTD,Gujarat Gas
GMDCLTD,Gujarat Mineral Development Corporation
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals
GPPL,Gujarat Pipavav Port
GSFC,Gujarat State Fertilizers & Chemicals
GSPL,Gujarat State Petronet
GULFOILLUB,Gulf Oil Lubricants India
HEG,H.E.G.
HCLTECH,HCL Technologies
HDFCAMC,HDFC Asset Management Company
HDFCBANK,HDFC Bank
HDFCLIFE,HDFC Life Insurance Company
HFCL,HFCL
HATHWAY,Hathway Cable & Datacom
HATSUN,Hatsun Agro Product
HAVELLS,Havells India
HEIDELBERG,HeidelbergCement India
HERITGFOOD,Heritage Foods
HEROMOTOCO,Hero MotoCorp
HEXAWARE,Hexaware Technologies
HSCL,Himadri Speciality Chemical
HIMATSEIDE,Himatsingka Seide
HINDALCO,Hindalco Industries
HAL,Hindustan Aeronautics
HINDCOPPER,Hindustan Copper
HINDPETRO,Hindustan Petroleum Corporation
HINDUNILVR,Hindustan Unilever
HINDZINC,Hindustan Zinc
HONAUT,Honeywell Automation India
HUDCO,Housing & Urban Development Corporation
HDFC,Housing Development Finance Corporation
ICICIBANK,ICICI Bank
ICICIGI,ICICI Lombard General Insurance Company
ICICIPRULI,ICICI Prudential Life Insurance Company
ISEC,ICICI Securities
ICRA,ICRA
IDBI,IDBI Bank
IDFCFIRSTB,IDFC First Bank
IDFC,IDFC
IFBIND,IFB Industries
IFCI,IFCI
IIFL,IIFL Finance
